#####################################################################
# Alchemist log file - simulation started at: 2018-04-25T11:18+0000 #
#####################################################################
# random = 6.0
#
# The columns have the following meaning: 
# time n_procs_run[Sum] n_procs_run[Mean] msg_sent_spawn[Sum] msg_received_spawn[Sum] cumulative_time_spawn[Sum] bandwidth_spawn[Sum] bandwidth_spawn[Mean] n_active_msgs[Sum] n_active_msgs[Mean] msg_sent_nospawn[Sum] msg_received_nospawn[Sum] cumulative_time_nospawn[Sum] n_rounds_nospawn[Sum] n_rounds_nospawn[Mean] bandwidth_nospawn[Sum] bandwidth_nospawn[Mean] 
0.0 NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.0033519603921406 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1125.0 1.125 0.0 0.0 
2.002880299620316 66.0 0.06600000000000002 1.0 0.0 0.0 0.0 0.0 1.0 9.999999999999992E-4 1.0 0.0 0.0 2103.0 2.103 113.0 0.11300000000000035 
3.0016578230139963 114.0 0.11400000000000002 1.0 0.0 0.0 0.0 0.0 71.0 0.0710000000000001 1.0 0.0 0.0 3124.0 3.1239999999999997 7609.0 7.608999999999986 
4.000366103370034 114.0 0.11400000000000002 1.0 0.0 0.0 0.0 0.0 303.0 0.30300000000000005 1.0 1.0 2.02170991139495 4168.0 4.168000000000001 38273.0 38.272999999999996 
5.001650990301788 114.0 0.11400000000000002 1.0 0.0 0.0 0.0 0.0 517.0 0.517 1.0 1.0 2.02170991139495 5209.0 5.209 91316.0 91.31599999999999 
6.000106793265649 225.0 0.2250000000000001 4.0 1.0 0.03289672229720075 1.0 9.999999999999992E-4 493.0 0.4929999999999999 4.0 1.0 2.02170991139495 6226.0 6.226000000000001 153243.0 153.24300000000002 
7.000352426565744 485.0 0.4850000000000002 6.0 1.0 0.03289672229720075 12.0 0.012000000000000038 531.0 0.531 6.0 1.0 2.02170991139495 7263.0 7.263000000000001 241594.0 241.59399999999997 
8.001338774992576 1127.0 1.1270000000000002 9.0 2.0 6.508416354703 53.0 0.05299999999999999 777.0 0.777 9.0 2.0 4.366375411546898 8305.0 8.305 381607.0 381.607 
9.00017918011475 1765.0 1.7649999999999995 10.0 2.0 6.508416354703 137.0 0.13699999999999973 1666.0 1.6659999999999997 10.0 2.0 4.366375411546898 9327.0 9.327000000000002 587638.0 587.638 
