#####################################################################
# Alchemist log file - simulation started at: 2018-04-25T21:47+0000 #
#####################################################################
# random = 63.0
#
# The columns have the following meaning: 
# time n_procs_run[Sum] n_procs_run[Mean] msg_sent_spawn[Sum] msg_received_spawn[Sum] cumulative_time_spawn[Sum] bandwidth_spawn[Sum] bandwidth_spawn[Mean] n_active_msgs[Sum] n_active_msgs[Mean] msg_sent_nospawn[Sum] msg_received_nospawn[Sum] cumulative_time_nospawn[Sum] n_rounds_nospawn[Sum] n_rounds_nospawn[Mean] bandwidth_nospawn[Sum] bandwidth_nospawn[Mean] 
0.0 NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.000557109454186 50.0 0.050000000000000024 1.0 0.0 0.0 0.0 0.0 1.0 9.999999999999992E-4 1.0 0.0 0.0 1108.0 1.1079999999999997 54.0 0.05399999999999956 
2.000352894235595 98.0 0.09800000000000003 1.0 0.0 0.0 0.0 0.0 29.0 0.029000000000000054 1.0 0.0 0.0 2123.0 2.1229999999999993 2575.0 2.575000000000006 
3.000370588095232 154.0 0.15400000000000005 2.0 0.0 0.0 0.0 0.0 192.0 0.1919999999999999 2.0 1.0 2.2945644197307047 3182.0 3.182 19442.0 19.441999999999993 
4.003084415095911 256.0 0.25599999999999984 3.0 0.0 0.0 2.0 0.0019999999999999983 379.0 0.3790000000000003 3.0 1.0 2.2945644197307047 4240.0 4.239999999999998 52835.0 52.83499999999998 
5.000594152771061 575.0 0.5750000000000001 5.0 1.0 0.08786888866666764 18.0 0.018000000000000044 701.0 0.7009999999999996 5.0 1.0 2.2945644197307047 5297.0 5.297000000000001 128260.0 128.2599999999999 
6.000358809706088 1020.0 1.0200000000000002 7.0 3.0 5.784764608254479 70.0 0.06999999999999995 1176.0 1.1760000000000006 7.0 1.0 2.2945644197307047 6345.0 6.345000000000001 273090.0 273.0899999999999 
7.001151693491325 1413.0 1.4129999999999998 8.0 4.0 7.69523279433413 178.0 0.1779999999999997 1852.0 1.8519999999999999 8.0 3.0 5.126002265675561 7395.0 7.395000000000001 494004.0 494.0040000000001 
8.000679930165091 1751.0 1.751 9.0 5.0 10.057212870512304 341.0 0.3410000000000001 2804.0 2.8040000000000003 9.0 5.0 15.208500997023902 8463.0 8.463000000000001 802451.0 802.451 
9.000071739191226 1940.0 1.94 9.0 6.0 15.98261677870871 485.0 0.48500000000000026 3752.0 3.7520000000000002 9.0 7.0 22.25814144338859 9508.0 9.508000000000003 1203902.0 1203.902 
